35,14,0,4,0,0|35,0,0,4,0,0
35,0,0,4,0,0|12,0,0,4,0,0
29,21,0,1,0,0|29,0,0,1,0,0
29,0,0,1,0,0|12,0,0,1,0,0
31,12,0,10,0,0|31,0,0,10,0,0
31,0,0,10,0,0|12,0,0,10,0,0
62,38,0,6,0,0|62,0,0,6,0,0
62,0,0,6,0,0|12,0,0,6,0,0
25,8,0,19,3,0|25,0,0,19,3,0
25,0,0,19,3,0|23,0,0,19,3,0
23,0,0,19,3,0|23,0,0,20,0,0
23,0,0,20,0,0|12,0,0,9,0,0
25,8,0,15,8,0|25,8,0,16,0,0
25,8,0,16,0,0|25,0,0,16,0,0
25,0,0,16,0,0|23,0,0,16,0,0
23,0,0,16,0,0|12,0,0,5,0,0
62,36,0,6,0,0|62,0,0,6,0,0
62,0,0,6,0,0|12,0,0,6,0,0
45,41,0,9,0,0|45,0,0,9,0,0
45,0,0,9,0,0|12,0,0,9,0,0
63,36,0,7,0,0|63,0,0,7,0,0
63,0,0,7,0,0|12,0,0,7,0,0
28,18,0,2,0,0|28,0,0,2,0,0
28,0,0,2,0,0|12,0,0,2,0,0
32,13,0,3,0,0|32,0,0,3,0,0
32,0,0,3,0,0|12,0,0,3,0,0
25,4,0,19,3,0|25,4,0,20,0,0
25,4,0,20,0,0|25,0,0,20,0,0
25,0,0,20,0,0|23,0,0,20,0,0
23,0,0,20,0,0|12,0,0,9,0,0
45,13,0,3,0,0|45,0,0,3,0,0
45,0,0,3,0,0|12,0,0,3,0,0
45,13,0,4,0,0|45,0,0,4,0,0
45,0,0,4,0,0|12,0,0,4,0,0
25,14,0,17,6,0|25,14,0,18,0,0
25,14,0,18,0,0|25,0,0,18,0,0
25,0,0,18,0,0|23,0,0,18,0,0
23,0,0,18,0,0|12,0,0,7,0,0
58,47,0,4,0,0|58,0,0,4,0,0
58,0,0,4,0,0|12,0,0,4,0,0
63,16,0,6,0,0|63,0,0,6,0,0
63,0,0,6,0,0|12,0,0,6,0,0
24,15,0,8,0,0|24,0,0,8,0,0
24,0,0,8,0,0|12,0,0,8,0,0
63,34,0,5,0,0|63,0,0,5,0,0
63,0,0,5,0,0|12,0,0,5,0,0
61,53,0,4,0,0|61,0,0,4,0,0
61,0,0,4,0,0|12,0,0,4,0,0
23,4,0,17,5,0|23,4,0,18,0,0
23,4,0,18,0,0|23,0,0,18,0,0
23,0,0,18,0,0|23,0,0,18,0,0
23,0,0,18,0,0|12,0,0,7,0,0
28,13,0,1,0,0|28,0,0,1,0,0
28,0,0,1,0,0|12,0,0,1,0,0
51,39,0,5,0,0|51,0,0,5,0,0
51,0,0,5,0,0|12,0,0,5,0,0
32,15,0,19,9,0|32,15,0,20,0,0
32,15,0,20,0,0|32,0,0,20,0,0
32,0,0,20,0,0|23,0,0,20,0,0
23,0,0,20,0,0|12,0,0,9,0,0
31,12,0,1,0,0|31,0,0,1,0,0
31,0,0,1,0,0|12,0,0,1,0,0
57,20,0,1,0,0|57,0,0,1,0,0
57,0,0,1,0,0|12,0,0,1,0,0
49,29,0,2,0,0|49,0,0,2,0,0
49,0,0,2,0,0|12,0,0,2,0,0
60,24,0,7,0,0|60,0,0,7,0,0
60,0,0,7,0,0|12,0,0,7,0,0
31,14,0,4,0,0|31,0,0,4,0,0
31,0,0,4,0,0|12,0,0,4,0,0
30,17,0,4,0,0|30,0,0,4,0,0
30,0,0,4,0,0|12,0,0,4,0,0
31,15,0,17,6,0|31,0,0,17,6,0
31,0,0,17,6,0|23,0,0,17,6,0
23,0,0,17,6,0|23,0,0,18,0,0
23,0,0,18,0,0|12,0,0,7,0,0
50,25,0,8,0,0|50,0,0,8,0,0
50,0,0,8,0,0|12,0,0,8,0,0
35,15,0,5,0,0|35,0,0,5,0,0
35,0,0,5,0,0|12,0,0,5,0,0
47,38,0,7,0,0|47,0,0,7,0,0
47,0,0,7,0,0|12,0,0,7,0,0
31,8,0,16,1,0|31,0,0,16,1,0
31,0,0,16,1,0|23,0,0,16,1,0
23,0,0,16,1,0|23,0,0,17,0,0
23,0,0,17,0,0|12,0,0,6,0,0
60,47,0,7,0,0|60,0,0,7,0,0
60,0,0,7,0,0|12,0,0,7,0,0
36,24,0,3,0,0|36,0,0,3,0,0
36,0,0,3,0,0|12,0,0,3,0,0
61,51,0,5,0,0|61,0,0,5,0,0
61,0,0,5,0,0|12,0,0,5,0,0
25,18,0,12,7,0|25,18,0,13,0,0
25,18,0,13,0,0|25,0,0,13,0,0
25,0,0,13,0,0|23,0,0,13,0,0
23,0,0,13,0,0|12,0,0,2,0,0
31,18,0,15,6,0|31,0,0,15,6,0
31,0,0,15,6,0|23,0,0,15,6,0
23,0,0,15,6,0|23,0,0,16,0,0
23,0,0,16,0,0|12,0,0,5,0,0
52,19,0,3,0,0|52,0,0,3,0,0
52,0,0,3,0,0|12,0,0,3,0,0
60,16,0,10,0,0|60,0,0,10,0,0
